Brand Name	Discounted Price	Original Price	Price Change
M MISSONI	"HKD 3,339"	"HKD 7,420"	55% off
CHLOÉ	"HKD 5,760"	"HKD 11,522"	50% off
CHLOÉ	"HKD 5,665"	"HKD 12,055"	53% off
ANNA SUI	"HKD 4,293"	"HKD 9,540"	55% off
MAISON MARGIELA	"HKD 7,470"	"HKD 18,675"	60% off
MAISON MARGIELA	"HKD 5,382"	"HKD 13,455"	60% off
GOAT	"HKD 2,973"	"HKD 6,915"	57% off
MAISON MARGIELA	"HKD 4,488"	"HKD 12,825"	65% off
PREEN BY THORNTON BREGAZZI	"HKD 3,768"	"HKD 10,185"	63% off
ROBERT RODRIGUEZ	"HKD 3,326"	"HKD 8,315"	60% off
STELLA MCCARTNEY	"HKD 3,681"	"HKD 8,180"	55% off
AMANDA WAKELEY	"HKD 2,968"	"HKD 7,420"	60% off
GOAT	"HKD 2,437"	"HKD 4,975"	51% off
RAG & BONE	"HKD 3,260"	"HKD 6,520"	50% off
T BY ALEXANDER WANG	"HKD 3,091"	"HKD 6,870"	55% off
OSCAR DE LA RENTA	"HKD 8,159"	"HKD 21,472"	62% off
BELSTAFF	"HKD 4,138"	"HKD 9,405"	56% off
ISABEL MARANT	"HKD 2,898"	"HKD 8,288"	65% off
MOSCHINO	"HKD 7,635"	"HKD 25,452"	70% off
DOLCE & GABBANA	"HKD 14,805"	"HKD 29,611"	50% off
JIL SANDER	"HKD 5,615"	"HKD 16,515"	66% off
GOEN.J	"HKD 4,278"	"HKD 10,696"	60% off
DKNY	"HKD 2,478"	"HKD 5,055"	51% off
MARNI	"HKD 4,075"	"HKD 13,585"	70% off
MARNI	"HKD 3,833"	"HKD 11,980"	68% off
VIONNET	"HKD 6,972"	"HKD 17,877"	61% off
"VICTORIA, VICTORIA BECKHAM"	"HKD 3,835"	"HKD 7,671"	50% off
CARVEN	"HKD 2,060"	"HKD 4,480"	54% off
OPENING CEREMONY	"HKD 1,960"	"HKD 4,900"	60% off
STELLA MCCARTNEY	"HKD 5,202"	"HKD 14,865"	65% off
DKNY	"HKD 1,865"	"HKD 3,731"	50% off
VINCE.	"HKD 3,284"	"HKD 5,970"	45% off
"VICTORIA, VICTORIA BECKHAM"	"HKD 3,835"	"HKD 7,670"	50% off
MM6 MAISON MARGIELA	"HKD 2,194"	"HKD 5,225"	58% off
NINA RICCI	"HKD 4,057"	"HKD 9,660"	58% off
YVES SALOMON	"HKD 20,412"	"HKD 40,825"	50% off
MM6 MAISON MARGIELA	"HKD 2,194"	"HKD 5,225"	58% off
YVES SALOMON	"HKD 8,845"	"HKD 17,691"	50% off
